Dealership,Phone,Email,Contact,Stores,OEM,Territory
Mordt Tractor and Equipment,(636) 456-8576,manager@mordttractor.com,,2,Kubota,"Warrenton MO; Troy MO"
Crown Diversified Industries,(573) 756-4121,swigger@heavydutyturf.com,,2,Kubota,"Farmington MO; Chesterfield MO"
Davis Farm Supplies,(573) 243-1300,pklaus@davisfs.com,,2,Kubota,"Jackson MO; Perryville MO"
Meyer Implement Company,(573) 324-5261,service@meyerimplement.com,,2,Kubota,"Bowling Green MO; Monroe City MO"
Coleman Equipment of Missouri,(816) 254-5100,chris@colemanequip.com,"Bruce/John/Chris/Jason Coleman - Owners",3,Kubota,"Lees Summit MO; Smithville MO; Easton MO"
Edgeller & Harper Farm Equipment,(417) 256-0420,bedgeller@hotmail.com,,2,Kubota,"West Plains MO; Mountain Grove MO"
Worley Equipment,(660) 200-7444,worleyequipment@gmail.com,,2,LS,"Adrian MO; Weaubleau MO"
Diamond R Equipment,(660) 584-8757,sales@diamondrequipment.com,,2,LS,"Higginsville MO; Freeburg MO"
Boone County Equipment,(573) 442-1252,,,2,New Holland,"Columbia MO; Fulton MO"
Fries Ag & Turf,(816) 759-0499,,,2,Case IH/New Holland,"Kearney MO; Chillicothe MO"
Ennis-Childs Operations,(573) 581-3223,,,2,Case IH,"Mexico MO; Troy MO"
St. Joseph Tractor,(785) 742-2867,,,2,Case IH/New Holland,"Hiawatha KS; Saint Joseph MO"
Quincy Tractor,(217) 222-1392,,,3,Case IH/New Holland,"Havana IL; Bowling Green MO; Quincy IL"
Heartland Tractor Company,(620) 365-2341,andrew.weibling@heartlandtractor.com,Lowell Hartzler - President,5,Case IH/Kubota/New Holland,"Iola KS; Harrisonville MO; Nevada MO; Lamar MO; Cameron MO"
Luby Equipment,,,"Steve Luby - President",7,Case IH/New Holland,"Scott City MO; O Fallon MO; Springfield MO; Quincy IL"
Beard Implement Co,(217) 476-3386,sam@beardimplement.com,"Nate McGraw / Suzanne Hobrock / Kyle Schumacher - Owners",4,Case IH/Kubota/New Holland,"Ashland IL; Pittsfield IL; Arenzville IL; Hannibal MO"
German-Bliss Equipment,(309) 385-4316,ggerman@germanbliss.com,Greg German - President & CEO,3,Kubota,"Princeville IL; East Peoria IL; Bloomington IL"
Sparta Equipment Sales & Service,(618) 443-5015,jon@okawvilleequipment.com,,2,Kubota,"Sparta IL; Okawville IL"
Bluff Equipment,(618) 283-3277,bluffhighland@gmail.com,,2,Case IH/Kubota,"Vandalia IL; Pocahontas IL"
Sievers Equipment Co,(618) 633-2622,greg.sievers@sieversequipment.com,Greg Sievers - Owner,7,Case IH/Kubota/New Holland,"Hamel IL; Hillsboro IL; Greenfield IL; Auburn IL; Carlinville IL; Hoyleton IL; Jerseyville IL"
Mc Cullough Implement Company,(815) 942-6620,bobbi@mcapplus.com,"Matt & Steve McCullough - Owners",4,Kubota,"Morris IL; Frankfort IL; Watseka IL; Gurnee IL"
Stoller International,(815) 426-2119,mnoonan@stollerih.com,Michael Dohman - CEO,4,Case IH/Kubota,"Herscher IL; Pontiac IL; Minonk IL; Ottawa IL"
Peabudy's,(815) 239-2601,Pecpayables@peabudys-inc.com,,4,Case IH/Kubota/New Holland,"Sterling IL; Pecatonica IL; Sullivan IN; Vincennes IN"
Kanequip,(785) 456-2041,web.sales@kanequip.com,,2,Kubota,"Wamego KS; Topeka KS"
Radke Implement,(620) 935-4310,harlan@radkeimplement.com,,2,Kubota,"Russell KS; Hays KS"
Wichita Tractor Co,(316) 942-8118,clayton@wichitatractor.com,,2,Kubota,"Wichita KS; Hutchinson KS"
